hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2319,Skiddaw,34A,,Ma;F;Sim;Hew; N;W;B;Sy,931,NY260290,54.651391,-3.147761,1
2320,Blencathra - Hallsfell Top,34A,,Ma;Sim;Hew;N; W;B;Sy;Fel,867.8,NY323277,54.639949,-3.049789,1
2321,Skiddaw Little Man,34A,2319,Sim;Hew;N;W; B;Sy;Fel,865,NY266277,54.639911,-3.137629,1
2325,Carl Side,34A,2319,Sim;Hew;N;W; B;Sy;Fel,746,NY254280,54.642398,-3.155984,1
2326,Long Side,34A,2319,Sim;Hew;N;W; B;Sy;Fel,734,NY248284,54.645505,-3.165618,1
2327,Lonscale Fell,34A,2319,Sim;Hew;N;W; B;Sy;Fel,715,NY285271,54.634357,-3.108518,1
2328,Knott,34A,,Ma;Sim;Hew;N; W;B;Sy;Fel,710,NY296329,54.686982,-3.093322,1
2329,Bowscale Fell,34A,2320,Sim;Hew;N;W; B;Sy;Fel,702,NY333305,54.665538,-3.035037,1
2330,Ullock Pike,34A,2319,W;B;Sy;Fel; xN,690,NY244287,54.64827,-3.172486,1
2331,Great Calva,34A,2328,Hu;Sim;Hew;N; sMa;W;B;Sy,690,NY290311,54.670761,-3.101073,1
2332,Bannerdale Crags,34A,2320,Sim;Hew;N;W; B;Sy;Fel,683,NY335290,54.65195,-3.031747,1
2333,Bakestall,34A,2319,W;B;Sy;Fel,673,NY266308,54.667426,-3.139049,1
2336,Carrock Fell,34A,2328,Sim;Hew;N;sHu; W;B;Sy;Fel,663,NY341336,54.693484,-3.02287,1
2337,High Pike (Caldbeck),34A,2328,Sim;Hew;N;W; B;Sy;Fel,658,NY318350,54.705407,-3.058742,1
2338,Great Sca Fell,34A,2328,W;B;Sy;Fel; xN,651,NY291339,54.695145,-3.100989,1
2340,Mungrisdale Common,34A,2320,W;Sy,633,NY310292,54.653432,-3.070132,1
2344,Brae Fell,34A,2328,W;B;Sy;Fel,586,NY288351,54.70642,-3.105361,1
2345,Lord's Seat,34A,,Ma;5;Dew;W; B;Sy;Fel,552,NY204265,54.627823,-3.233984,1
2346,Meal Fell,34A,2328,5;Dew;W;B; Sy;Fel,550,NY283337,54.693795,-3.113923,1
